x/Dp	y/Dp	z/Dp
1.153859	0.009232	7.504831
0.547144	0.196281	9.091072
1.286609	0.017125	9.760786
0.509128	1.094998	7.956983
1.208312	0.538836	8.424596
0.100593	0.917822	6.534299
0.237606	0.078382	7.113019
0.796476	1.082830	5.757871
0.159800	0.312724	5.732893
0.897091	0.329863	6.405880
0.705414	0.686195	10.754708
0.961607	1.077769	7.065475
0.786389	0.882779	9.777719
0.361403	0.117075	8.103814
0.122993	0.206964	10.098276
2.654299	1.057796	5.799137
1.607304	0.823519	10.345353
1.704387	1.327356	6.097674
2.586837	0.064269	5.868328
1.649961	0.390338	5.751349
1.929688	0.412463	9.105378
2.481180	0.759346	9.863666
1.841581	0.354047	6.731999
2.089645	1.315780	8.707439
2.008212	1.274906	7.082892
1.561845	1.161776	5.121884
2.380885	0.342953	10.767105
1.980493	0.519515	7.736867
3.995779	1.000507	8.870051
2.969186	0.949294	9.010444
2.874536	1.207263	10.671624
3.425829	0.396708	8.313512
3.564871	0.145397	9.271000
2.903970	0.967413	6.762756
3.284192	0.476851	5.283513
3.132565	0.065414	10.169211
2.887423	0.175154	7.498966
3.618809	0.572894	10.880267
3.515056	0.960099	9.848458
3.644635	0.822751	7.418720
3.817718	1.244782	5.633070
2.762513	1.078639	8.008298
3.423676	0.195402	6.397841
3.073452	1.980981	5.594135
2.919564	1.791740	7.327481
3.991505	2.142293	5.233791
2.821842	2.173627	8.245852
3.740179	2.574946	8.223246
3.404368	1.849376	8.990885
3.614814	1.599180	8.046181
3.604396	2.478330	7.087938
3.493303	2.355187	10.153253
3.824809	2.590428	6.111469
3.498530	1.711200	6.457335
2.835477	1.691656	9.797963
1.472531	1.360034	7.922119
1.530622	2.175835	8.497373
1.340280	1.968686	6.815250
1.851413	1.508229	9.658889
1.787191	2.406285	6.035751
2.319662	2.201336	9.110780
2.482997	2.216571	10.572590
2.185391	1.942080	5.136991
1.747608	2.461741	9.940980
2.507264	1.828561	6.417466
2.032259	2.136045	7.633661
1.128291	1.369325	8.974480
0.005123	2.592460	9.285219
0.049719	1.416744	10.560746
0.480600	2.511829	10.161991
0.352310	1.907291	8.646265
0.494347	1.870623	6.291582
0.183752	1.660826	9.600528
1.074732	1.713068	10.254241
1.097756	1.983929	5.449301
0.979551	2.293922	9.323132
0.586290	2.608421	6.959172
0.156519	1.654661	7.207606
0.826895	2.111086	7.790145
0.007989	3.427269	8.734916
0.232952	3.233295	7.654824
0.726303	3.457992	10.371691
1.208783	3.018983	7.625071
0.826822	2.767743	6.003107
0.208783	3.493352	6.303139
0.934080	3.691178	5.637239
0.761133	2.814252	8.497852
0.171465	3.120313	5.337480
0.743943	3.263069	9.391044
1.130714	3.407261	6.707599
2.665004	3.718028	9.356567
2.514073	3.997380	8.408783
1.499523	2.964048	10.769115
2.189813	2.924794	8.433497
2.068353	3.527953	7.646608
1.629847	2.772264	5.119733
1.918860	2.834429	6.928649
2.553964	2.829528	5.496400
1.458841	3.961331	10.829500
2.515975	3.617419	6.757227
1.794756	3.228157	9.300567
1.420696	3.562772	8.436169
2.116124	3.577732	10.180442
1.846690	3.396962	5.917387
2.892505	2.750249	6.433762
2.682154	2.823930	9.803605
3.270115	3.442454	8.061254
3.078390	2.917140	8.890232
3.450017	3.464746	7.077828
3.048116	3.196269	10.656346
3.732857	3.300952	9.935053
3.330889	3.400531	5.798712
2.749986	2.815262	7.482577
